Model name,weight,Size,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,Search criterion loss,Search regularization loss,Search accuracy,Parameters,FLOPs,Latency GPU,Latency CPU
l1_loss_2e01_l2_3e04,0.2,1.73,0.379452,91.851113,0.179489,95.400001,0.207009,94.740001,2.3025872707366943,3.348299264907837,10.084,2206416,282015360,12.93189525604248,67.01936721801758
l1_loss_2e02_l2_3e04,0.02,1.81,0.733844,81.773332,0.166374,94.619999,0.177925,94.199999,1.9922981262207031,16.01249122619629,20.171999999084473,2290656,294456960,11.818337440490723,65.26362895965576
l1_loss_1e02_l2_3e04,0.01,1.4,1.061488,74.388891,0.245606,92.300003,0.263062,91.290003,1.90716552734375,22.703113555908203,22.41600000488281,1878312,230617728,9.81144905090332,45.519423484802246
l1_loss_8e03_l2_3e04,0.008,2.33,0.424574,90.502225,0.135201,95.920003,0.144161,95.510003,1.7193527221679688,37.168312072753906,32.45199999328613,2802144,373668480,19.536328315734863,125.6030797958374
l1_loss_4e03_l2_3e04,0.004,2.56,0.821023,77.886667,0.152547,94.819998,0.161756,94.459998,1.4652928113937378,76.7562255859375,39.73199999267578,3037152,392441472,20.40872573852539,149.05118942260742
l1_loss_2e03_l2_3e04,0.002,1.82,0.775799,80.89111,0.172094,94.259999,0.193977,93.419999,1.1321109533309937,145.2736358642578,57.17599999511719,2294112,294899328,12.003111839294434,66.88089370727539
l1_loss_8e04_l2_3e04,0.0008,3.41,0.455534,88.782221,0.127778,96.38,0.137592,95.659999,0.8635732531547546,363.38531494140625,70.94400001708985,3889920,559380096,29.0926456451416,185.20758152008057
l1_loss_2e04_l2_3e04,0.0002,3.97,0.368922,91.622222,0.118585,96.400001,0.128619,96.12,0.5429979562759399,1119.1812744140625,81.69199997314453,4446768,636048000,29.726243019104004,236.86017990112305
l1_loss_1e04_l2_3e04,0.0001,4.25,0.177045,96.164447,0.127475,96.760002,0.12497,96.550003,0.36076560616493225,2422.520751953125,85.26000000976562,4724328,661290624,33.203125,280.10847568511963
l1_loss_7e06_l2_3e04,7e-06,3.28,0.126824,97.231108,0.143564,96.899997,0.139422,96.709997,0.3053900897502899,14766.0244140625,85.24400001220702,3757512,506544768,28.037166595458984,190.53199291229248
l1_loss_4e06_l2_3e04,4e-06,3.99,0.133666,96.975556,0.139125,96.94,0.126526,96.9,0.261741578578949,15828.5439453125,85.26399997314454,4464048,628887168,36.56604290008545,257.37481117248535
l1_loss_3e06_l2_3e04,3e-06,3.1,0.058476,98.882224,0.130256,97.040001,0.13416,96.710002,0.2575916349887848,16296.5908203125,85.08800000488282,3577152,482214528,24.286293983459473,167.34459400177002
