Model name,weight,Size,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,search_criterion_loss,search_reg_loss,search_acc,Parameters,FLOPs,Latency GPU,Latency CPU
l2_loss_2e01,0.2,1.37,1.228054,69.175555,0.330532,88.96,0.359865,88.019999,1.5414588451385498,0.809961199760437,43.55200000610352,1846560,227272320,13.252973556518555,63.49446773529053
l2_loss_1e01,0.1,1.37,1.328019,66.955558,0.369629,87.960003,0.388281,87.560004,1.3243818283081055,1.7859505414962769,47.599999998779296,1846560,227272320,13.33310604095459,62.11094856262207
l2_loss_8e02,0.08,1.37,1.317972,67.326669,0.359724,88.000003,0.373019,87.910004,1.1685123443603516,2.490443229675293,60.167999985351564,1846560,227272320,13.679718971252441,63.59705924987793
l2_loss_6e02,0.06,1.37,1.343681,66.420003,0.371137,87.560003,0.393053,86.980004,1.3243818283081055,1.7859505414962769,47.599999998779296,1846560,227272320,13.092279434204102,66.91789627075195
l2_loss_3e02,0.03,1.78,0.955921,75.075553,0.191117,93.579998,0.206329,93.129998,0.9163491129875183,6.309142589569092,66.80799998901367,2254800,294401664,19.625186920166016,88.24002742767334
l2_loss_1e02,0.01,2.25,0.869216,76.711113,0.16174,94.560002,0.181924,93.990002,0.7032599449157715,15.458571434020996,74.97599999755859,2726544,368221824,21.062517166137695,132.15961456298828
l2_loss_7e03,0.007,3.19,0.783861,79.091112,0.138543,95.420001,0.148297,95.170001,0.583077073097229,30.564556121826172,80.50400001708984,3663120,514977408,37.40489482879639,304.06267642974854
l2_loss_429e05,0.00429,4.11,0.66881,81.657777,0.116297,96.319998,0.123425,96.159998,0.5047577023506165,48.359737396240234,83.94399997070313,4585440,643291776,38.704872131347656,416.7110204696655
l2_loss_425e05,0.00425,3.99,0.446937,88.906666,0.118435,96.279998,0.129024,96.069998,0.3965405821800232,48.99483108520508,83.81600001953124,4461888,630352512,44.679856300354004,374.0823984146118
l2_loss_3e03,0.003,4.66,0.244657,94.886667,0.143887,96.359999,0.134283,96.34,0.3422674536705017,80.04161071777344,86.14000001708985,5140128,740115072,46.28181457519531,514.4326686859131
l2_loss_23e04,0.0023,4.25,0.192288,95.697781,0.12777,96.940002,0.119862,96.720003,0.3421212434768677,86.49272155761719,86.50400001464844,4730808,663143040,40.993714332580566,435.4712247848511
l2_loss_196e05,0.00196,4.07,0.218848,95.046664,0.137112,96.439997,0.131519,96.229997,0.2950751781463623,104.0413818359375,86.944,4542888,633725568,54.86044883728027,411.3849401473999
l2_loss_191e05,0.00191,4.44,0.230482,94.753332,0.130863,96.759999,0.125402,96.639999,0.25325027108192444,105.0596923828125,86.73600001464844,4913112,689795712,60.648393630981445,518.2319641113281
l2_loss_14e04,0.0014,3.8,0.065855,98.628887,0.131002,96.899997,0.122549,96.939997,0.23771268129348755,137.14207458496094,87.52800000976562,4278072,586198656,36.08083724975586,382.2913885116577
l2_loss_13e04,0.0013,3.29,0.07351,98.479997,0.135914,96.659997,0.128977,96.849997,0.2258194088935852,145.8631591796875,87.1639999951172,3766368,515613312,43.68469715118408,267.90738105773926
l2_loss_9e04,0.0009,3.81,0.055645,98.851109,0.127255,97.059997,0.1248,97.079997,0.19259518384933472,197.8485870361328,87.90799999267578,4284120,583157376,50.174665451049805,389.1117334365845
l2_loss_7e04,0.0007,3.99,0.164029,96.348889,0.14095,96.94,0.131138,96.76,0.19131043553352356,287.2017517089844,86.96399999755859,4465776,618380928,37.20955848693848,389.1396760940552
