Model name,Weight,Params,Search train acc,Search valid acc,Search crit loss,Search reg loss,Parameters,FLOPs,Latency GPU,Latency CPU
L1_loss_2e01,0.2,1.422064,0.9559999999237061,1.043999999961853,4.605169773101807,3.4614384174346924,1370134,227272320,8.347034454345703,40.219879150390625
L1_loss_5e03,0.004800217630243996,1.535248,3.1280000006103514,2.6239999996948242,4.35864782333374,29.296401977539062,1483318,238884480,9.712815284729004,70.6336498260498
L1_loss_25e04,0.002455266334656121,1.478656,12.779999999084472,12.108000002441406,3.7564594745635986,179.4193572998047,1426726,233078400,11.10959529876709,58.912672996520996
L1_loss_17e04,0.0017487937155929122,2.321488,18.74000000366211,17.523999998779296,3.346277952194214,302.06109619140625,2269558,369991296,17.788100242614746,133.24641704559326
L1_loss_8e04,0.0008031031804415669,2.979208,31.731999993286134,30.88800000366211,2.730156421661377,765.2564697265625,2927278,468141696,24.364643096923828,194.81947422027588
L1_loss_4e04,0.0004037628022135983,3.85336,44.66399999511719,41.55999999511719,2.2188332080841064,1567.9168701171875,3801430,606271104,33.879451751708984,302.48945713043213
L1_loss_324e06,0.0003243876055007853,3.778408,48.56400000610351,44.58799999267578,2.0878171920776367,1936.39208984375,3726478,597091968,32.134408950805664,284.93854999542236
L1_loss_319e06,0.00031862983710063617,4.074112,49.2600000012207,44.515999993896486,1.9876760244369507,1998.0455322265625,4022182,648876672,35.25925636291504,321.2018918991089
L1_loss_30e05,0.0002956691012768128,4.04236,50.20399999145508,45.612000004882816,1.9737341403961182,2122.621337890625,3990430,645531264,35.850043296813965,312.74763584136963
L1_loss_28e05,0.00027685058911487134,4.014928,50.387999993896486,45.984000002441405,1.9531502723693848,2237.36376953125,3962998,630269568,34.840354919433594,321.2423086166382
L1_loss_21e05,0.000212042349015394,4.670272,55.16799999267578,49.47600000244141,1.7594895362854004,2910.891845703125,4618342,742658688,39.37073230743408,397.7432918548584
L1_loss_15e05,0.00015253243742430854,4.741552,59.971999989013675,51.792,1.4544763565063477,3923.459716796875,4689622,740640384,42.658400535583496,409.7200918197632
L1_loss_1e04,0.00011315118965390588,4.712824,63.8720000024414,53.94799999267578,1.3546475172042847,5059.32763671875,4660894,732843648,41.500349044799805,409.01068687438965
L1_loss_59e06,5.916651494916841e-05,3.286792,68.43599997558594,55.3560000012207,1.2041898965835571,8355.2890625,3234862,505162368,27.3397159576416,232.88272857666016
L1_loss_55e06,5.5314040182050374e-05,3.96352,69.49199997558594,55.77199998779297,1.154679298400879,8729.5830078125,3911590,616473216,33.105835914611816,309.02923583984375
L1_loss_51e06,5.143226770744729e-05,3.866104,69.51599997802734,55.927999997558594,1.122511386871338,9255.7900390625,3814174,598529664,33.36820125579834,286.85166358947754
L1_loss_489e07,4.893538596216418e-05,3.402568,70.26399997558593,56.276,1.121485948562622,9592.4658203125,3350638,515032704,29.604501724243164,234.62456703186035
L1_loss_487e07,4.868795957617856e-05,3.385936,69.83999998535157,55.65599999023438,1.1170945167541504,9625.365234375,3334006,520534656,28.91010284423828,252.79837131500244
L1_loss_3e05,3.2239452782445164e-05,2.626912,70.20399998046875,55.74800000854492,1.0961061716079712,12193.2470703125,2574982,396008064,20.91156005859375,152.1338129043579
